artifact_name,year,lat,lon,image_link
"The EmpressВ’s Jewelry cabinet, called the ""Grand Ecrin""",1964.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-serre-bijoux-l039imperatrice-dit.jpg?1527828912
"Equestrian Portrait of Pierre SГ©guier (1588-1672), Chancellor of France",1942.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pierre-seguier-chancelier-france.jpg?1527830773
Jean de La Fontaine (1621-1695),1960.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-jean-fontaine-1621-1695.jpg?1527825510
"Portrait of Louis XIV (1638-1715), King of France",7492.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv-1638-1715.jpg?1527831687
Portrait of Louis XIV,1993.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-louis-xiv_19.jpg?1527827834
Coupe de CГ©sarГ©e de Palestine,1962.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-coupe-cesaree-palestine.jpg?1492565658
"CГґne d'Enmetena, prince de Lagash",1896.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cone-d039enmetena-prince-lagash.jpg?1527822093
"July 28. Liberty Leading the People (July 28, 1830)",1983.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-le-28-juillet-la-liberte-guidant-le-peuple-28-juillet-1830.jpg?1527831264
Le roi Assurbanipal sur son char et prisonniers Г©lamites. Episodes de la campagne d'Elam,1855.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-roi-assurbanipal-sur-son.jpg?1527822035
Massacres of the Triumvirate,1939.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-massacres-triumvirat.jpg?1527831534
"Napoleon on the Battlefield at Eylau, February 9, 1807",5067.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-napoleon-sur-champ-bataille.jpg?1527831577
Battle of Zama,5394.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bataille-zama.jpg?1527827781
"L'ApothГ©ose d'Henri IV et la proclamation de la rГ©gence de la reine, le 14 mai 1610",1779.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039apotheose-d039henri-proclamation-regence.jpg?1527819586
"The Barricade, Rue de la Mortellerie, June 1848,<br>also known as Remembrance of Civil War",1953.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-barricade-rue-mortellerie-juin.jpg?1527830621
La Bataille de San Romano : la contre-attaque de Micheletto da Cotignola.,1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bataille-san-romano-contre.jpg?1527821318
The Intervention of the Sabine Women,1819.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-sabines.jpg?1527831717
La Messe de fondation de l'ordre des Trinitaires,1964.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-messe-fondation-l039ordre-des.jpg?1527819226
Le Radeau de la MГ©duse,1824.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-radeau-meduse.jpg?1527819819
Carriage on the Beach at Scheveningen,1784.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-noble-equipage-cheminant-sur.jpg?1527830165
Equipage dans un parc,1952.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-equipage-dans-un-parc_0.jpg?1527839338
Hunting scene in a chariot,1891.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-scene-chasse-char.jpg?1492583577
Mercury,1957.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-mercure-attachant-ses-talonnieres.jpg?1527826100
Model of figures in a boat,1902.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-modele-bateau-occupe-par.jpg?1527832363
Fragment de mosaГЇqueВ de solВ : triomphe de Neptune et d'Amphitrite,1845.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-fragment-mosaique%C2%A0de-sol%C2%A0-triomphe.jpg?1492565638
Ampoules Г  eulogies,1950.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-ampoules-eulogies.jpg?1527818471
Les PГЁlerins d'EmmaГјs,1638.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-pelerins-d039emmaues.jpg?1527820718
"Arrival of a Stagecoach in the Cour des Messageries, Rue Notre-Dame-des-Victoires, Paris",2678.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039arrivee-d039une-diligence-dans.jpg?1527831389
"Dante and Virgil in Hell, also known as The Barque of Dante",1985.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-dante-et-virgile-aux-enfers-dit-aussi-la-barque-de-dante.jpg?1527831475
La chute d'Icare,1671.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-la-chute-d-icare_2.jpg?1527837523
EnГ©e conduit par la sibylle de Cumes aux Enfers,1920.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-enee-conduit-par-la-sibylle-de-cumes-aux-enfers_0.jpg?1527834483
LГ©cythe funГ©raire Г  fond blanc,1893.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-lecythe-funeraire-fond-blanc.jpg?1423734963
Portrait de famille,1785.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-famille.jpg?1423775227
"Presumed Portrait of Gabrielle d'EstrГ©es and Her Sister, the Duchess of Villars",1937.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-presume-gabrielle-d039estrees.jpg?1527830850
"Portrait of Louis XIV (1638-1715), King of France",7492.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv-1638-1715.jpg?1527831687
"Portrait of Louis-FranГ§ois Bertin, called Bertin the Elder (1766-1841), founder and director of the Journal des DГ©bats politiques et littГ©raires",1897.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-francois-bertin.jpg?1527831293
"Madame RГ©camier, nГ©e Julie (known as Juliette) Bernard (1777-1849), known as Portrait of Juliette RГ©camier",1826.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-madame-recamier-nee-julie.jpg?1527830579
"<i>Portrait of Lisa Gherardini</i>, wife of Francesco del Giocondo, known as the <i>Mona Lisa</i> (the <i>Joconde</i> in French)",1518.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-de-lisa-gherardini-epouse-de-francesco-del-giocondo-dite-monna-lisa-la-gioconda-ou-la-jocon.jpg?1527831862
Portrait of an Old Man and a Boy,1880.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-d039un-vieillard-d039un.jpg?1527831967
Portrait de jeune femme,2047.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-jeune-femme.jpg?1527818566
"Portrait of Alexander the Great (356-323 BC), called ""Hermes Azara""",1803.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-alexander-great-356.jpg?1527824023
Portrait du major James Lee Harvey,1995.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-major-james-lee.jpg?1527819674
Self-portrait,1861.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-autoportrait.jpg?1528507857
"The Countess of Carpio, Marquesa de la Solana",1953.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-comtesse-del-carpio-marquise.jpg?1527829935
Landscape near Rhenen: Cows Grazing and a Shepherd Playing the Flute,1783.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-paysage-pres-rhenen%C2%A0-vaches.jpg?1527830117
Paysage avec Г©difices classiques,1873.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-paysage-avec-edifices-classiques_1.jpg?1527839016
Seashore by Moonlight,2000.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bord-mer-clair-lune.jpg?1527829813
