,0
179,Category:Symbols on Pictish stones
180,Category:Iron Age art of Europe
181,Category:Bracteates
182,Category:Germanic art
183,Category:Anglo-Saxon art
184,Category:Anglo-Saxon architecture
185,Category:Standing Anglo-Saxon buildings
186,Category:Standing Anglo-Saxon churches
187,Category:Churches with elements of Anglo-Saxon work
188,Category:Castles in England built before 1066
189,Category:Anglo-Saxon artists
190,Category:Later Anglo-Saxon illuminated manuscripts
191,Category:Carolingian art
192,Category:Carolingian architecture
193,Category:Abbey of Saint Gall
194,Category:Abbots of Saint Gall
195,Category:Abbey library of Saint Gall
196,Category:Manuscripts of the Abbey library of Saint Gall
197,Category:Monks at Saint Gall
198,Category:Carolingian illuminated manuscripts
199,Category:Carolingian psalters
200,Category:Lombard art
201,Category:Lombard architecture
202,Category:Lombard books
203,Category:Lombard sculpture
204,Category:Lombard sculptures
205,Category:Merovingian art
206,Category:Merovingian architecture
207,Category:Ostrogothic art
208,Category:Viking Age art
209,Category:Picture stones
210,Category:Rune- and picture stones on Gotland
211,Category:Runestones
212,Category:Runestones by country
213,Category:Runestones in Denmark
214,Category:Runestones on the Faroe Islands
215,Category:Runestones in Finland
216,Category:Runestones in Germany
217,Category:Runestones in Norway
218,Category:Runestones in Sweden
219,Category:Runestones in Blekinge
220,Category:Haþuwulf's runestones
221,Category:Runestones in Bohuslän
222,Category:Runestones in Gästrikland
223,Category:Runestones in Hälsingland
224,Category:Runestones in Jämtland
225,Category:Runestones in Medelpad
226,Category:Runestones in Närke
227,Category:Runestones in Öland
228,Category:Runestones in Östergötland
229,Category:Runestones in Scania
230,Category:Runestones in Småland
231,Category:Runestones in Södermanland
232,Category:Runestones in Uppland
233,"Category:Runestones, Estrid"
234,"Category:Runestones, Gerlög and Inga"
235,Category:Runestones in Värmland
236,Category:Runestones in Västergötland
237,Category:Runestones in Västmanland
238,Category:Runemasters
239,Category:Danish Runic Inscriptions
240,Category:North American runestone hoaxes
241,Category:Runestones in memory of Viking warriors
242,Category:Runestones raised in memory of women
243,Category:Visigothic art
244,Category:Visigothic buildings and structures
245,Category:Illyrian art
246,Category:Illyrian archeological sites and structures in Bosnia and Herzegovina
247,Category:Prehistoric art in France
248,Category:Rock art in France
249,Category:Geoglyphs
250,Category:Hill figures
251,Category:Hill figures in Canada
252,Category:Hill figures in the United Kingdom
253,Category:Hill figures in England
254,Category:White horses in England
255,Category:Hill figures in Scotland
256,Category:Hill figures in the United States
257,Category:Prehistoric art in Germany
258,Category:Hittite art
259,Category:Iron Age art
260,Category:Iron Age Greek art
261,Category:Petroglyphs
262,Category:Cross symbols
263,Category:Crosses in art
264,Category:Flags with crosses
265,Category:Blue Ensigns
266,Category:Nordic Cross flags
267,Category:Red Ensigns
268,Category:Saltire flags
269,Category:Christian crosses
270,Category:Crosses by culture
271,Category:Crosses by form
272,Category:Crucifixes
273,Category:Crux gemmata
274,Category:Forked crosses
275,Category:Stone crosses
276,Category:Stone crosses in Asia
277,Category:Stone crosses in Continental Europe
278,Category:Stone crosses in the United Kingdom
279,Category:Crosses by function
280,Category:Altar crosses
281,Category:Crucifixion
282,Category:Crucifixion of Jesus
283,Category:Crucifixion of Jesus in art
284,Category:Calvaries in Brittany
285,Category:Calvary
286,Category:Denial of the crucifixion of Jesus
287,Category:Entombment of Christ
288,Category:Entombment of Christ in art
